time,askprice_0,bidprice_0,cache_len,vwap,cache_size
93000000,260800,260100,1, 0.0,1
93003000,260000,259700,2, 260092.59259259258,2
93006000,259900,259800,3, 259597.2727272727,3
93009000,260000,259700,4, 259767.88990825688,4
93012000,259700,259500,5, 259758.01526717556,5
93015000,259700,259400,6, 259736.0655737705,6
93018000,259400,259100,7, 259693.7321937322,7
93021000,259300,259200,8, 259680.38674033148,8
93024000,259400,259300,9, 259644.69696969696,9
93027000,259400,259300,10, 259629.83293556084,10
93030000,259300,259200,11, 259584.81012658228,11
93033000,259300,259200,12, 259579.50310559006,12
93036000,259400,259300,13, 259549.08088235292,13
93039000,259500,259400,14, 259538.35845896148,14
93042000,259700,259600,15, 259539.87538940812,15
93045000,259900,259800,16, 259546.38554216866,16
93048000,260000,259900,17, 259597.76315789472,17
93051000,260500,260000,18, 259625.0,18
93054000,260500,260100,19, 259672.51461988303,19
93057000,260500,260200,20, 259677.8422273782,20
93100000,260500,260300,21, 259691.68564920273,21
93103000,260000,259900,22, 259752.51937984495,22
93106000,259800,259500,23, 259761.91646191647,23
93109000,259700,259600,24, 259761.9391025641,24
93112000,259900,259700,25, 259762.37154150198,25
93115000,260100,259700,26, 259764.80186480188,26
93118000,260100,259900,27, 259767.15497301467,27
93121000,260000,259900,28, 259777.0786516854,28
93124000,260300,260000,29, 259779.61452928095,29
93127000,260200,260100,30, 259781.04719764012,30
93130000,260300,260200,30, 259777.5205377147,30
93133000,260500,260400,30, 259814.0201394268,30
93136000,260300,260100,30, 259849.81132075473,30
93139000,260200,260100,30, 259857.25368502716,30
93142000,260300,260200,30, 259873.1821735731,30
93145000,260500,260300,30, 259895.35628502804,30
93148000,260400,260300,30, 259909.41455696203,30
93151000,260500,260400,30, 259931.40096618357,30
93154000,260500,260400,30, 259944.03594771243,30
93157000,260600,260500,30, 259986.1227922624,30
93200000,260800,260500,30, 260004.5605306799,30
93203000,260800,260600,30, 260048.18339100346,30
93206000,260700,260600,30, 260085.29147982062,30
93209000,260700,260600,30, 260113.41350601296,30
93212000,260700,260600,30, 260137.6611418048,30
93215000,260900,260700,30, 260185.12476007678,30
93218000,261200,260900,30, 260267.05670567058,30
93221000,261400,260900,30, 260277.24329324698,30
93224000,261300,260900,30, 260280.81556997218,30
93227000,261200,260900,30, 260294.4495837188,30
93230000,261200,260900,30, 260344.93670886074,30
93233000,261100,260800,30, 260501.6434892541,30
93236000,261200,260900,30, 260532.34152652006,30
93239000,261000,260900,30, 260549.86807387864,30
93242000,260600,260500,30, 260571.22762148338,30
93245000,260600,260400,30, 260570.303030303,30
93248000,260600,260400,30, 260590.53549190538,30
93251000,260900,260600,30, 260601.13493064314,30
93254000,260800,260700,30, 260606.75844806005,30
93257000,260900,260800,30, 260614.80552070265,30
93300000,261100,260900,30, 260637.9746835443,30
93303000,261000,260900,30, 260755.57122708042,30
93306000,261300,260900,30, 260773.02452316077,30
93309000,261200,261000,30, 260811.46408839777,30
93312000,261100,261000,30, 260830.02717391305,30
93315000,261200,261000,30, 260853.1767955801,30
93318000,260800,260700,30, 260881.5889029004,30
93321000,260500,260400,30, 260825.44878563887,30
93324000,259900,259500,30, 260784.2157842158,30
93327000,260000,259600,30, 260784.57609805925,30
93330000,260000,259700,30, 260777.5844421699,30
93333000,260000,259800,30, 260757.25888324872,30
93336000,260500,260100,30, 260729.24435721294,30
93339000,260600,260500,30, 260719.64461994078,30
93342000,260400,260100,30, 260666.92087702572,30
93345000,260400,260100,30, 260629.35586061247,30
93348000,260400,260000,30, 260598.65284974093,30
93351000,260400,260000,30, 260594.92227979272,30
93354000,260400,260100,30, 260581.34171907755,30
93357000,260400,260100,30, 260568.52248394006,30
93400000,260300,260100,30, 260549.6132596685,30
93403000,260300,260100,30, 260543.85382059801,30
93406000,260000,259800,30, 260519.2144373673,30
93409000,260000,259800,30, 260496.52173913043,30
93412000,260100,260000,30, 260481.7264573991,30
93415000,260000,259900,30, 260473.31838565023,30
93418000,260000,259900,30, 260471.23595505618,30
93421000,260000,259900,30, 260458.70535714287,30
93424000,260100,260000,30, 260453.7598204265,30
93427000,260100,260000,30, 260433.7142857143,30
93430000,260300,260100,30, 260378.70813397132,30
93433000,260500,260400,30, 260353.04449648713,30
93436000,260900,260500,30, 260347.39130434784,30
93439000,260900,260500,30, 260334.91189427313,30
93442000,260900,260600,30, 260324.24581005584,30
93445000,260800,260600,30, 260254.0243902439,30
93448000,260600,260400,30, 260190.73243647235,30
93451000,260600,260400,30, 260194.5,30
93454000,260900,260600,30, 260216.58615136874,30
93457000,260900,260600,30, 260240.6003159558,30
93500000,260900,260600,30, 260264.41223832528,30
93503000,260800,260500,30, 260294.391025641,30
93506000,260600,260500,30, 260317.89638932495,30
93509000,260800,260600,30, 260359.4642857143,30
93512000,260800,260700,30, 260402.6771653543,30
93515000,260900,260800,30, 260461.94824961948,30
93518000,261000,260900,30, 260467.37481031867,30
93521000,261200,261000,30, 260474.54545454547,30
93524000,261200,261000,30, 260487.33233979135,30
93527000,261200,261100,30, 260498.67256637168,30
93530000,261200,261100,30, 260503.85756676557,30
93533000,261300,261100,30, 260553.62095531588,30
93536000,261500,261300,30, 260594.9764521193,30
93539000,261500,261300,30, 260689.1238670695,30
93542000,261300,260900,30, 260719.64017991003,30
93545000,261200,260900,30, 260723.39791356184,30
93548000,261100,260800,30, 260749.0909090909,30
93551000,261100,260800,30, 260754.0909090909,30
93554000,261000,260800,30, 260768.34862385324,30
93557000,260800,260600,30, 260788.61154446178,30
93600000,260600,260100,30, 260805.40540540538,30
93603000,260800,260300,30, 260847.33096085407,30
93606000,260700,260400,30, 260845.50359712233,30
93609000,260400,260300,30, 260835.72679509633,30
93612000,260700,260400,30, 260762.53644314868,30
93615000,260700,260500,30, 260763.19648093844,30
93618000,260600,260500,30, 260764.84490398818,30
93621000,260700,260600,30, 260759.7142857143,30
93624000,261000,260700,30, 260760.4255319149,30
93627000,261200,261000,30, 260764.31593794076,30
93630000,261200,261100,30, 260851.4211886305,30
93633000,261200,261100,30, 260866.31578947368,30
93636000,261200,261100,30, 260873.39449541285,30
93639000,261500,261200,30, 260902.31548480463,30
93642000,261400,261100,30, 260909.24764890282,30
93645000,261400,261200,30, 260917.10730948678,30
93648000,261400,261300,30, 260921.02803738316,30
93651000,261300,261100,30, 261102.44798041615,30
93654000,261300,261200,30, 261101.60891089108,30
93657000,261300,261200,30, 261102.46913580247,30
93700000,261300,261200,30, 261101.368159204,30
93703000,261300,261000,30, 261103.0303030303,30
93706000,260900,260800,30, 261077.3076923077,30
93709000,260900,260700,30, 261073.6220472441,30
93712000,260900,260600,30, 261073.2894736842,30
93715000,261000,260900,30, 261069.23076923078,30
93718000,261600,261100,30, 261080.90575275398,30
93721000,261500,261200,30, 261083.94607843139,30
93724000,261500,261200,30, 261090.02463054186,30
93727000,261400,261200,30, 261120.4081632653,30
93730000,261200,261100,30, 261137.43523316065,30
93733000,261000,260900,30, 261140.02493765586,30
93736000,261000,260900,30, 261152.09125475286,30
93739000,261000,260900,30, 261278.4457478006,30
93742000,261000,260900,30, 261271.7142857143,30
93745000,261000,260900,30, 261269.88636363638,30
93748000,261100,261000,30, 261292.5,30
93751000,261200,261100,30, 261275.32934131735,30
93754000,261600,261200,30, 261290.60402684563,30
93757000,261600,261300,30, 261319.8347107438,30
93800000,261600,261300,30, 261332.16374269006,30
93803000,261500,261300,30, 261335.26627218936,30
93806000,261300,261200,30, 261336.92848769051,30
93809000,261200,261000,30, 261334.5433255269,30
93812000,261200,261000,30, 261331.76470588235,30
93815000,261300,261200,30, 261327.80996523754,30
93818000,261500,261300,30, 261218.89985895628,30
93821000,261500,261300,30, 261222.67037552156,30
93824000,261500,261300,30, 261222.26890756303,30
93827000,261500,261300,30, 261222.8045325779,30
93830000,261500,261300,30, 261232.4712643678,30
93833000,261400,261300,30, 261235.06493506493,30
93836000,261400,261300,30, 261242.01680672268,30
93839000,261400,261300,30, 261248.69684499313,30
93842000,261400,261300,30, 261258.22959889352,30
93845000,261400,261300,30, 261259.3471810089,30
93848000,261500,261400,30, 261263.7026239067,30
93851000,261400,261300,30, 261263.42525399127,30
93854000,261400,261300,30, 261268.15561959654,30
93857000,261400,261200,30, 261269.0856313498,30
93900000,261400,261200,30, 261282.00899550226,30
93903000,261300,261200,30, 261283.9541547278,30
93906000,261500,261300,30, 261294.95798319328,30
93909000,261500,261300,30, 261307.6479076479,30
93912000,261600,261400,30, 261315.6338028169,30
93915000,261700,261600,30, 261357.87172011661,30
93918000,261800,261700,30, 261437.73913043478,30
93921000,261800,261700,30, 261467.63110307415,30
93924000,261500,261400,30, 261475.55938037866,30
93927000,261300,261200,30, 261460.5488850772,30
93930000,261200,261100,30, 261450.7512520868,30
93933000,261200,261100,30, 261449.57698815566,30
93936000,261100,261000,30, 261447.04890387857,30
93939000,261100,261000,30, 261440.2618657938,30
93942000,261100,261000,30, 261449.23857868018,30
93945000,261300,261100,30, 261453.25131810192,30
93948000,261300,261000,30, 261446.8309859155,30
93951000,261200,261000,30, 261445.72425828967,30
93954000,261200,261100,30, 261445.20069808027,30
93957000,261200,261100,30, 261442.13381555156,30
94000000,261200,261100,30, 261439.74820143887,30
94003000,261300,261200,30, 261437.6146788991,30
94006000,261200,261100,30, 261406.270096463,30
94009000,261200,261100,30, 261401.93236714974,30
94012000,261100,261000,30, 261387.78979907266,30
94015000,261200,261000,30, 261376.9938650307,30
94018000,261200,261100,30, 261375.96302003082,30
94021000,261300,261200,30, 261373.62637362638,30
94024000,261100,261000,30, 261366.71779141104,30
94027000,261100,261000,30, 261359.9078341014,30
94030000,261100,261000,30, 261357.12025316455,30
94033000,261100,261000,30, 261352.03915171287,30
94036000,261100,261000,30, 261331.56297420335,30
94039000,261000,260900,30, 261322.98136645963,30
94042000,261100,261000,30, 261290.6050955414,30
94045000,261300,261100,30, 261257.29646697387,30
94048000,261400,261200,30, 261213.54642313544,30
94051000,261400,261300,30, 261151.83246073296,30
94054000,261400,261300,30, 261143.2481751825,30
94057000,261400,261300,30, 261146.16822429906,30
94100000,261500,261400,30, 261160.36363636365,30
94103000,261800,261500,30, 261172.51356238697,30
94106000,261700,261600,30, 261196.9034608379,30
94109000,261900,261800,30, 261220.84063047287,30
94112000,262000,261900,30, 261251.17366884614,30
94115000,261900,261700,30, 261260.30927835053,30
94118000,261900,261700,30, 261268.20512820513,30
94121000,261800,261600,30, 261283.8602329451,30
94124000,261500,261400,30, 261302.1875,30
94127000,261400,261200,30, 261303.75,30
94130000,261400,261200,30, 261305.21327014218,30
94133000,261400,261200,30, 261325.44483985764,30
94136000,261400,261300,30, 261328.67132867133,30
94139000,261400,261300,30, 261341.98895027622,30
94142000,261400,261300,30, 261351.82341650673,30
94145000,261500,261400,30, 261354.1825095057,30
94148000,261500,261300,30, 261355.36398467433,30
94151000,261600,261500,30, 261367.25146198831,30
94154000,261800,261600,30, 261393.06358381503,30
94157000,261900,261700,30, 261408.78906249997,30
94200000,261900,261700,30, 261418.25396825396,30
94203000,261900,261700,30, 261454.2669584245,30
94206000,261800,261700,30, 261473.73949579833,30
94209000,261800,261700,30, 261511.06382978725,30
94212000,261800,261700,30, 261563.03317535546,30
94215000,261800,261700,30, 261623.6220472441,30
94218000,261800,261700,30, 261659.66981132075,30
94221000,261800,261700,30, 261662.76849642006,30
94224000,261800,261700,30, 261667.55447941888,30
94227000,261800,261700,30, 261687.5,30
94230000,261800,261700,30, 261693.48958333334,30
94233000,261600,261400,30, 261678.98734177215,30
94236000,261500,261400,30, 261665.27415143602,30
94239000,261300,261200,30, 261629.80301396523,30
94242000,261300,261200,30, 261609.48717948716,30
94245000,261300,261200,30, 261601.2987012987,30
94248000,261300,261200,30, 261592.6430517711,30
94251000,261300,261200,30, 261596.01226993863,30
94254000,261500,261300,30, 261520.0892857143,30
94257000,261700,261600,30, 261523.22175732217,30
94300000,261800,261700,30, 261532.0512820513,30
94303000,262000,261700,30, 261592.77566539924,30
94306000,261800,261700,30, 261602.22222222225,30
94309000,261800,261700,30, 261609.2857142857,30
94312000,261800,261700,30, 261616.42857142858,30
94315000,261900,261700,30, 261622.74305555556,30
94318000,261900,261800,30, 261630.9688581315,30
94321000,262000,261900,30, 261634.2706502636,30
94324000,262000,261900,30, 261634.628975265,30
94327000,261900,261800,30, 261645.7337883959,30
94330000,261800,261700,30, 261650.1661129568,30
94333000,261900,261800,30, 261657.8947368421,30
94336000,262000,261900,30, 261668.83116883118,30
94339000,262000,261900,30, 261676.35782747602,30
94342000,261900,261800,30, 261692.26100151747,30
94345000,261900,261800,30, 261680.35714285716,30
94348000,261900,261800,30, 261696.54135338345,30
94351000,262000,261900,30, 261707.2857142857,30
94354000,262100,261900,30, 261727.6595744681,30
94357000,262200,262100,30, 261740.47306176086,30
94400000,262200,261900,30, 261756.62650602407,30
94403000,262100,262000,30, 261767.7922077922,30
94406000,262000,261800,30, 261784.65608465608,30
94409000,262000,261900,30, 261808.19245773734,30
94412000,262300,262100,30, 261816.68806161746,30
94415000,262500,262400,30, 261834.03726708074,30
94418000,262300,262100,30, 261843.3090024331,30
94421000,262500,262400,30, 261951.47265077138,30
94424000,262500,262300,30, 261986.3309352518,30
94427000,262600,262300,30, 262002.0231213873,30
94430000,262500,262300,30, 262015.07293354944,30
94433000,262500,262300,30, 262203.08483290486,30
94436000,262300,262200,30, 262243.46846846846,30
94439000,262300,262200,30, 262247.9820627803,30
94442000,262200,261900,30, 262251.91897654586,30
94445000,262100,262000,30, 262253.9029535865,30
94448000,262100,262000,30, 262257.7942735949,30
94451000,262100,262000,30, 262259.2119275825,30
94454000,262100,262000,30, 262266.15886833513,30
94457000,262200,262100,30, 262273.81215469615,30
94500000,262200,262100,30, 262286.86296715745,30
94503000,262300,262200,30, 262294.6224256293,30
94506000,262200,262100,30, 262296.7105263158,30
94509000,262200,262000,30, 262310.25641025644,30
94512000,262000,261900,30, 262311.6201117318,30
94515000,262000,261900,30, 262335.4609929078,30
94521000,262100,262000,29, 262371.8181818182,29
94524000,262100,262000,29, 262377.60000000003,29
94527000,261800,261700,29, 262336.6871165644,29
94530000,261800,261600,29, 262345.70707070705,29
94533000,261700,261600,29, 262334.1220423412,29
94536000,261700,261600,29, 262315.5086848635,29
94539000,261700,261600,29, 262312.125,29
94542000,261700,261600,29, 262304.4757033248,29
94545000,261800,261700,29, 262235.6069364162,29
94548000,261800,261700,29, 262224.9417249417,29
94551000,261900,261800,29, 262152.719665272,29
94554000,262000,261800,29, 262145.3878406708,29
94557000,262000,261800,29, 262142.53112033196,29
94600000,262200,261800,29, 261990.34653465348,29
94603000,262300,262200,29, 261912.8279883382,29
94606000,262500,262200,29, 261917.638483965,29
94609000,262500,262300,29, 261895.7210776545,29
94612000,262400,262300,29, 261890.3594771242,29
94615000,262300,262200,29, 261890.28006589788,29
94618000,262200,262100,29, 261897.75999999998,29
94621000,262000,261800,29, 261905.34918276375,29
94624000,262000,261800,29, 261905.15463917525,29
94627000,262000,261900,29, 261902.086438152,29
94630000,262000,261900,29, 261893.4451219512,29
94633000,262000,261800,29, 261862.54125412542,29
94636000,262000,261800,29, 261850.51020408163,29
94639000,262000,261900,29, 261849.39759036145,29
94642000,262000,261900,29, 261850.93696763203,29
94645000,262000,261900,29, 261851.3698630137,29
94648000,262100,262000,30, 261856.21890547263,30
94651000,262100,262000,30, 261857.52066115703,30
94654000,262100,262000,30, 261848.36852207294,30
94657000,262100,262000,30, 261854.87571701722,30
94700000,262100,262000,30, 261860.0397614314,30
94703000,262100,262000,30, 261875.5789473684,30
94706000,262100,262000,30, 261882.7442827443,30
94709000,262100,262000,30, 261885.83509513742,30
94712000,262200,262100,30, 261942.1875,30
94715000,262300,262200,30, 261952.87958115185,30
94718000,262200,262100,30, 262087.4551971326,30
94721000,262200,262100,30, 262096.35036496352,30
94724000,262300,262200,30, 262104.49438202247,30
94727000,262300,262200,30, 262104.03225806452,30
94730000,262300,262200,30, 262103.187250996,30
94733000,262300,262200,30, 262095.73643410852,30
94736000,262300,262200,30, 262089.453125,30
94739000,262400,262200,30, 262085.82677165352,30
94742000,262400,262200,30, 262083.66533864543,30
94745000,262400,262300,30, 262081.19658119656,30
94748000,262300,262200,30, 262113.54166666666,30
94751000,262400,262300,30, 262144.97607655503,30
94754000,262400,262300,30, 262155.0,30
94757000,262400,262300,30, 262168.55895196507,30
94800000,262500,262400,30, 262191.46341463417,30
94803000,262300,262100,30, 262260.6896551724,30
94806000,262300,262200,30, 262265.6565656566,30
94809000,262300,262100,30, 262267.9435483871,30
94812000,262300,262200,30, 262273.0612244898,30
94815000,262300,262200,30, 262283.7894736842,30
94818000,262200,262100,30, 262285.2631578947,30
94821000,262200,262100,30, 262283.2298136646,30
94824000,262200,262100,30, 262289.09853249474,30
94827000,262200,262100,30, 262288.72651356994,30
94830000,262200,262100,30, 262290.31578947365,30
94833000,262200,262100,30, 262297.18614718615,30
94836000,262200,262100,30, 262293.0084745763,30
94839000,262100,262000,30, 262278.2945736434,30
94842000,262300,262100,30, 262277.7988614801,30
94845000,262300,262200,30, 262278.1818181818,30
94848000,262300,262200,30, 262278.9090909091,30
94851000,262200,262100,30, 262276.41843971633,30
94854000,262200,262100,30, 262276.5541740675,30
94857000,262200,262100,30, 262276.70250896056,30
94900000,262200,262100,30, 262272.8752260398,30
94903000,262100,262000,30, 262267.37967914436,30
94906000,262200,262100,30, 262264.6748681898,30
94909000,262200,262100,30, 262264.61267605633,30
94912000,262200,262100,30, 262261.17850953207,30
94915000,262100,262000,30, 262254.32937181665,30
94918000,262200,262100,30, 262244.7863247863,30
94921000,262100,262000,30, 262240.9246575343,30
94924000,262100,262000,30, 262238.04537521815,30
94927000,262100,262000,30, 262230.8797127469,30
94930000,262100,262000,30, 262173.2782369146,30
94933000,262100,262000,30, 262146.49681528663,30
94936000,262200,262100,30, 262144.8717948718,30
94939000,262200,262100,30, 262141.28440366974,30
94942000,262200,262100,30, 262139.62848297216,30
94945000,262200,262000,30, 262136.89024390245,30
94948000,262200,262100,30, 262137.03703703705,30
94951000,262200,262100,30, 262136.25,30
94954000,262200,262100,30, 262135.9375,30
94957000,262200,262100,30, 262135.88957055216,30
95000000,262100,262000,30, 262135.2409638554,30
95003000,262200,262100,30, 262136.54970760236,30
95006000,262100,262000,30, 262146.0055096419,30
95009000,262100,262000,30, 262141.2429378531,30
95012000,262000,261900,30, 262114.32664756448,30
95015000,262000,261900,30, 262111.23919308357,30
95018000,262100,261900,30, 262100.55865921787,30
95021000,262100,261900,30, 262100.0,30
95024000,262100,262000,30, 262098.89807162533,30
95027000,262000,261900,30, 262096.34831460676,30
95030000,262000,261900,30, 262097.1014492754,30
95033000,262100,262000,30, 262083.0769230769,30
95036000,262200,262100,30, 262085.57457212714,30
95039000,262300,262200,30, 262094.85458612975,30
95042000,262300,262200,30, 262126.08695652176,30
95045000,262300,262200,30, 262135.38461538462,30
95048000,262300,262200,30, 262136.6990291262,30
95051000,262300,262200,30, 262138.12260536395,30
95054000,262300,262200,30, 262138.72832369944,30
95057000,262300,262200,30, 262141.29158512718,30
95100000,262300,262200,30, 262145.1866404715,30
95103000,262300,262200,30, 262146.6535433071,30
95106000,262300,262200,30, 262184.3076923077,30
95109000,262400,262300,30, 262188.4036144578,30
95112000,262500,262400,30, 262191.6666666667,30
95115000,262500,262400,30, 262197.3174366617,30
95118000,262500,262400,30, 262198.06259314454,30
95121000,262300,262200,30, 262199.25925925927,30
95124000,262300,262200,30, 262200.0,30
95127000,262300,262200,30, 262200.8995502249,30
95130000,262300,262200,30, 262202.74809160305,30
95133000,262200,262100,30, 262206.38655462186,30
95136000,262300,262000,30, 262204.8309178744,30
95139000,262200,262000,30, 262215.51433389547,30
95142000,262200,262000,30, 262216.52613827994,30
95145000,262200,262000,30, 262226.4184397163,30
95148000,262100,262000,30, 262228.0357142857,30
95151000,262100,262000,30, 262228.2647584973,30
95154000,262100,262000,30, 262229.6229802513,30
95157000,262100,262000,30, 262230.10752688174,30
95200000,262100,262000,30, 262249.7098646035,30
95203000,262100,262000,30, 262245.85741811176,30
95206000,262000,261900,30, 262246.58385093167,30
95209000,262100,261900,30, 262201.4736842105,30
95212000,262000,261900,30, 262197.29119638825,30
95215000,261900,261800,30, 262160.1226993865,30
95218000,261900,261800,30, 262149.60000000003,30
95221000,261900,261800,30, 262148.30339321354,30
95224000,262100,262000,30, 262139.8854961832,30
95227000,262100,262000,30, 262135.76923076922,30
95230000,262200,262000,30, 262132.11678832117,30
95233000,262200,262100,30, 262065.29562982006,30
95236000,262200,262100,30, 262054.7619047619,30
95239000,262200,262100,30, 262049.1935483871,30
95242000,262200,262100,30, 262032.4929971989,30
95245000,262200,262100,30, 262030.9192200557,30
95248000,262200,262100,30, 262026.06232294618,30
95251000,262200,262100,30, 262035.1063829787,30
95254000,262400,262200,30, 262043.68686868687,30
95257000,262400,262200,30, 262049.49748743718,30
95300000,262400,262200,30, 262048.96907216494,30
95303000,262500,262200,30, 262043.2584269663,30
95306000,262400,262300,30, 262056.8306010929,30
95309000,262400,262300,30, 262060.8108108108,30
95312000,262400,262300,30, 262063.53887399464,30
95315000,262500,262400,30, 262063.3152173913,30
95318000,262400,262300,30, 262102.67639902674,30
95321000,262400,262300,30, 262103.71287128713,30
95324000,262400,262200,30, 262107.10784313726,30
95327000,262200,262000,30, 262110.6280193237,30
95330000,262200,262000,30, 262115.3086419753,30
95333000,262000,261900,30, 262117.70573566086,30
95336000,261900,261800,30, 262128.9855072464,30
95339000,261900,261800,30, 262126.14942528735,30
95342000,261900,261800,30, 262132.9383886256,30
95345000,261900,261800,30, 262141.52334152334,30
95348000,261900,261800,30, 262140.09779951102,30
95351000,261900,261800,30, 262134.79318734794,30
95354000,262200,261800,30, 262122.35023041477,30
95357000,262200,261900,30, 262125.18518518517,30
95400000,262000,261900,30, 262123.89162561574,30
95403000,262000,261900,30, 262123.32506203474,30
95406000,261900,261800,30, 262117.59036144576,30
95409000,261700,261600,30, 262096.6216216216,30
95412000,261700,261600,30, 262094.5701357466,30
95415000,261700,261600,30, 262093.6794582393,30
95418000,261700,261600,30, 262079.99999999997,30
95421000,261600,261400,30, 261978.06324110672,30
95424000,261500,261400,30, 261964.80000000002,30
95427000,261600,261500,30, 261944.48818897636,30
95430000,261600,261400,30, 261929.40038684718,30
95433000,261600,261500,30, 261910.5675146771,30
95436000,261700,261600,30, 261890.35916824196,30
95439000,261700,261600,30, 261884.3984962406,30
95442000,261700,261600,30, 261883.42749529192,30
95445000,261700,261600,30, 261830.67729083664,30
95448000,261700,261600,30, 261830.67729083664,30
95451000,261700,261600,30, 261824.04040404042,30
95454000,261700,261600,30, 261810.73684210528,30
95457000,261500,261400,30, 261779.2,30
95500000,261500,261400,30, 261768.6,30
95503000,261600,261500,30, 261762.72912423624,30
95506000,261700,261600,30, 261758.6693548387,30
95509000,261600,261500,30, 261665.09186351707,30
95512000,261600,261500,30, 261662.17616580313,30
95515000,261600,261500,30, 261657.53768844221,30
95518000,261600,261500,30, 261640.15957446807,30
95521000,261600,261400,30, 261604.72440944883,30
